case,m,n,k,alg,cycles,pass_fail
0,64,256,16,0,209885,PASS
0,64,256,16,2,141562,PASS
0,64,256,16,3,347350,PASS
0,64,256,16,5,142378,PASS
0,64,256,16,6,111256,PASS
0,64,256,16,7,117777,PASS
1,64,256,8,0,78077,PASS
1,64,256,8,1,221408,PASS
1,64,256,8,2,65091,PASS
1,64,256,8,3,99011,PASS
1,64,256,8,4,206318,PASS
1,64,256,8,5,65499,PASS
1,64,256,8,6,42080,PASS
1,64,256,8,7,59801,PASS
2,64,256,4,0,36567,PASS
2,64,256,4,1,77394,PASS
2,64,256,4,2,32326,PASS
2,64,256,4,3,41144,PASS
2,64,256,4,4,60247,PASS
2,64,256,4,5,32530,PASS
2,64,256,4,6,20131,PASS
2,64,256,4,7,30813,PASS
3,32,128,8,0,28541,PASS
3,32,128,8,1,142121,PASS
3,32,128,8,2,20497,PASS
3,32,128,8,3,44968,PASS
3,32,128,8,4,129288,PASS
3,32,128,8,5,20777,PASS
3,32,128,8,6,16157,PASS
3,32,128,8,7,16921,PASS
4,32,128,4,0,11863,PASS
4,32,128,4,1,41193,PASS
4,32,128,4,2,9869,PASS
4,32,128,4,3,14967,PASS
4,32,128,4,4,27406,PASS
4,32,128,4,5,10009,PASS
4,32,128,4,6,6981,PASS
4,32,128,4,7,8925,PASS
5,32,128,2,0,5918,PASS
5,32,128,2,1,10968,PASS
5,32,128,2,2,5197,PASS
5,32,128,2,3,6689,PASS
5,32,128,2,4,9439,PASS
5,32,128,2,5,5267,PASS
5,32,128,2,6,3679,PASS
5,32,128,2,7,4927,PASS
6,16,64,4,0,4887,PASS
6,16,64,4,1,29213,PASS
6,16,64,4,2,3637,PASS
6,16,64,4,3,7260,PASS
6,16,64,4,4,17138,PASS
6,16,64,4,5,3745,PASS
6,16,64,4,6,3095,PASS
6,16,64,4,7,2973,PASS
7,16,64,2,0,2270,PASS
7,16,64,2,1,5895,PASS
7,16,64,2,2,1887,PASS
7,16,64,2,3,2771,PASS
7,16,64,2,4,4531,PASS
7,16,64,2,5,1941,PASS
7,16,64,2,6,1544,PASS
7,16,64,2,7,1727,PASS
