"Case","M","N","K","Alg","OldCycles","NewCycles","Delta","Status"
"0","64","256","16","0","229105","229105","0","PASS"
"0","64","256","16","2","141562","141562","0","PASS"
"0","64","256","16","3","417430","417430","0","PASS"
"0","64","256","16","5","142378","142378","0","PASS"
"0","64","256","16","6","122074","122074","0","PASS"
"0","64","256","16","7","117777","117777","0","PASS"
"1","64","256","8","0","79337","79337","0","PASS"
"1","64","256","8","1","260704","260704","0","PASS"
"1","64","256","8","2","65091","65091","0","PASS"
"1","64","256","8","3","103267","103267","0","PASS"
"1","64","256","8","4","241766","241766","0","PASS"
"1","64","256","8","5","65499","65499","0","PASS"
"1","64","256","8","6","42870","42870","0","PASS"
"1","64","256","8","7","59801","59801","0","PASS"
"2","64","256","4","0","36637","36637","0","PASS"
"2","64","256","4","1","83430","83430","0","PASS"
"2","64","256","4","2","32326","32326","0","PASS"
"2","64","256","4","3","41344","41344","0","PASS"
"2","64","256","4","4","62093","62093","0","PASS"
"2","64","256","4","5","32530","32530","0","PASS"
"2","64","256","4","6","20184","20184","0","PASS"
"2","64","256","4","7","30813","30813","0","PASS"
"3","32","128","8","0","29801","29801","0","PASS"
"3","32","128","8","1","181417","181417","0","PASS"
"3","32","128","8","2","20497","20497","0","PASS"
"3","32","128","8","3","49224","49224","0","PASS"
"3","32","128","8","4","164736","164736","0","PASS"
"3","32","128","8","5","20777","20777","0","PASS"
"3","32","128","8","6","16947","16947","0","PASS"
"3","32","128","8","7","16921","16921","0","PASS"
"4","32","128","4","0","11933","11933","0","PASS"
"4","32","128","4","1","47229","47229","0","PASS"
"4","32","128","4","2","9869","9869","0","PASS"
"4","32","128","4","3","15167","15167","0","PASS"
"4","32","128","4","4","29252","29252","0","PASS"
"4","32","128","4","5","10009","10009","0","PASS"
"4","32","128","4","6","7034","7034","0","PASS"
"4","32","128","4","7","8925","8925","0","PASS"
"5","32","128","2","0","5921","5921","0","PASS"
"5","32","128","2","1","11229","11229","0","PASS"
"5","32","128","2","2","5197","5197","0","PASS"
"5","32","128","2","3","6695","6695","0","PASS"
"5","32","128","2","4","9498","9498","0","PASS"
"5","32","128","2","5","5267","5267","0","PASS"
"5","32","128","2","6","3682","3682","0","PASS"
"5","32","128","2","7","4927","4927","0","PASS"
"6","16","64","4","0","4957","4957","0","PASS"
"6","16","64","4","1","35249","35249","0","PASS"
"6","16","64","4","2","3637","3637","0","PASS"
"6","16","64","4","3","7460","7460","0","PASS"
"6","16","64","4","4","18984","18984","0","PASS"
"6","16","64","4","5","3745","3745","0","PASS"
"6","16","64","4","6","3148","3148","0","PASS"
"6","16","64","4","7","2973","2973","0","PASS"
"7","16","64","2","0","2273","2273","0","PASS"
"7","16","64","2","1","6156","6156","0","PASS"
"7","16","64","2","2","1887","1887","0","PASS"
"7","16","64","2","3","2777","2777","0","PASS"
"7","16","64","2","4","4590","4590","0","PASS"
"7","16","64","2","5","1941","1941","0","PASS"
"7","16","64","2","6","1547","1547","0","PASS"
"7","16","64","2","7","1727","1727","0","PASS"
