alg,opt,xMSE_vs_ref,xSNR_vs_ref,resMSE,resNorm,overlap,suppLen,support
OMP,"{}",0.0015159310487433686,16.72343455371472,0.009794138572033262,0.7917227220499161,15,16,"74 231 147 174 168 91 149 96 84 209 107 87 38 182 201 42"
MP,"{}",0.026211113601675606,4.345374307679669,0.09975997041692608,2.5267841432705067,13,16,"74 231 147 165 168 91 201 174 148 84 65 107 182 149 74 235"
GOMP,"{""pick"":1}",0.0015159310487433686,16.72343455371472,0.009794138572033262,0.7917227220499161,15,16,"74 231 147 174 168 91 149 96 84 209 107 87 38 182 201 42"
GOMP,"{""pick"":2}",0,3012.612628687925,0,0,16,32,"74 231 147 168 91 174 149 84 96 201 107 30 209 38 87 247 182 42 165 183 0 1 2 3 4 5 6 7 8 9 10 11"
GOMP,"{""pick"":3}",0,3012.612628687925,0,0,16,48,"74 231 168 91 174 87 149 38 82 107 84 93 209 201 42 147 182 15 165 112 21 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 22 23 24 25 26 27 28"
GOMP,"{""pick"":4}",0,3012.612628687925,0,0,16,64,"74 231 168 174 87 91 82 96 149 84 141 165 107 71 122 223 201 29 243 183 38 188 95 57 182 52 136 169 147 173 170 92 209 19 203 28 42 79 222 124 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24"
IHT,"{""mu"":1,""refine"":false}",1024.0711669921948,-41.573072351494375,10359.35293710243,814.24725235923,0,16,"1 2 4 5 8 9 15 18 19 22 25 26 29 35 36 37"
IHT,"{""mu"":1,""refine"":true}",0.05902998137571558,0.8195025728172994,0.9680707961924782,7.871247102989373,7,16,"32 37 38 73 82 84 120 149 165 169 171 182 209 231 239 243"
IHT,"{""mu"":0.5,""refine"":false}",256.0712890625,-35.55337984239179,6087.946716308612,624.20236289504,0,16,"0 3 6 8 12 14 15 19 20 22 23 25 26 27 29 33"
IHT,"{""mu"":0.5,""refine"":true}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
IHT,"{""mu"":0.25,""refine"":false}",64.0712890625,-29.536405582527312,2442.640869140625,395.3846426266453,0,16,"0 1 3 8 9 10 20 22 41 46 48 54 57 58 63 66"
IHT,"{""mu"":0.25,""refine"":true}",0,3012.612628687925,0,0,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
IHT,"{""mu"":0.125,""refine"":false}",0.0005183467719689361,21.384025051918623,0.003065294378757244,0.44292080583380095,16,16,"38 42 74 84 87 91 107 147 149 165 168 174 182 201 209 231"
IHT,"{""mu"":0.125,""refine"":true}",0.004861842378886649,11.662220285885855,0.022560009030712536,1.2015991752517152,14,16,"38 42 74 87 91 107 147 149 151 165 168 174 182 209 231 239"
IHT,"{""mu"":0.0625,""refine"":false}",0.0100100891013426,8.525849602621445,0.06226395024714293,1.9962196311571399,12,16,"30 38 59 74 87 91 107 108 147 149 151 168 174 182 209 231"
IHT,"{""mu"":0.0625,""refine"":true}",0.00594316586284549,10.790050526918302,0.032081859182653716,1.432912763461139,13,16,"30 38 42 67 74 87 91 107 147 149 151 168 174 182 209 231"
IHT,"{""mu"":0.03125,""refine"":false}",0.017617133807107166,6.070876505402598,0.15135994911906892,3.1124004793118143,10,16,"8 30 38 59 67 74 87 91 107 108 147 149 151 168 174 231"
IHT,"{""mu"":0.03125,""refine"":true}",0.02056010252363194,5.3999762752819365,0.18790816894033924,3.4678700685264596,9,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
IHT,"{""mu"":0.015625,""refine"":false}",0.0256249636559005,4.4435964537987935,0.25640881535218796,4.05094608487203,9,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
IHT,"{""mu"":0.015625,""refine"":true}",0.02056010252363194,5.3999762752819365,0.18790816894033924,3.4678700685264596,9,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
IHT,"{""mu"":0.0078125,""refine"":false}",0.03331153965154954,3.304281973364778,0.3932586701666878,5.016827173689364,9,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
IHT,"{""mu"":0.0078125,""refine"":true}",0.02056010252363194,5.3999762752819365,0.18790816894033924,3.4678700685264596,9,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
IHT,"{""mu"":0.00390625,""refine"":false}",0.043821722067150404,2.113334634014196,0.6606154611436068,6.502260338773805,9,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
IHT,"{""mu"":0.00390625,""refine"":true}",0.02056010252363194,5.3999762752819365,0.18790816894033924,3.4678700685264596,9,16,"8 30 38 59 67 74 87 91 107 108 147 151 168 173 174 231"
