noise_snr_db,algorithm,trials,snr_mean_db,snr_std_db,mse_mean,nmse_mean,support_overlap_mean,support_exact_rate,success_rate
10,OMP,100,16.669706,6.0572389,0.0012826763,0.082210315,7.51,0.76,0.31
10,GOMP,100,13.063233,6.1755768,0.0017496996,0.11443748,7.01,0.39,0.2
10,CoSaMP,100,14.728759,5.7329353,0.0012640089,0.085466973,7.28,0.52,0.21
10,SP,100,16.658322,5.0332038,0.00076409831,0.049279101,7.6,0.7,0.28
10,IHT,100,10.633051,6.383956,0.0030618987,0.19501166,6.37,0.28,0.07
10,HTP,100,11.43549,6.5629613,0.0027311946,0.17843618,6.54,0.34,0.12
10,GP,100,10.633051,6.383956,0.0030618987,0.19501166,6.37,0.28,0.07
10,MP,100,7.750436,2.5021751,0.0032837558,0.20707655,7.4,0.7,0
20,OMP,100,27.491168,6.5927217,0.00037220568,0.020254293,7.86,0.91,0.91
20,GOMP,100,24.451538,8.2390932,0.00051722396,0.03046965,7.7,0.76,0.76
20,CoSaMP,100,29.016984,3.6978374,0.00010589631,0.0070711233,7.96,0.99,0.99
20,SP,100,29.013616,3.7221078,0.00011272088,0.0075303073,7.96,0.99,0.99
20,IHT,100,22.327718,9.3872332,0.0012252176,0.076205867,7.42,0.77,0.72
20,HTP,100,24.950923,9.3945905,0.0010499732,0.064627378,7.5,0.82,0.82
20,GP,100,22.327718,9.3872332,0.0012252176,0.076205867,7.42,0.77,0.72
20,MP,100,17.18842,3.2557967,0.00062838684,0.03674369,7.91,0.97,0.08
30,OMP,100,37.179149,8.2101539,0.00029118323,0.015309487,7.89,0.93,0.93
30,GOMP,100,32.614425,12.420692,0.00050625032,0.031352933,7.68,0.77,0.77
30,CoSaMP,100,39.323876,2.4575361,2.1000659e-06,0.00013649536,8,1,1
30,SP,100,39.323876,2.4575361,2.1000659e-06,0.00013649536,8,1,1
30,IHT,100,28.651704,12.278566,0.00095312708,0.058319071,7.54,0.81,0.79
30,HTP,100,33.900912,12.521201,0.00088070578,0.053582376,7.55,0.84,0.84
30,GP,100,28.651704,12.278566,0.00095312708,0.058319071,7.54,0.81,0.79
30,MP,100,26.823004,5.6065881,0.00036171215,0.019884907,7.91,0.97,0.93
40,OMP,100,47.151826,9.42508,0.00026275086,0.013539633,7.91,0.95,0.95
40,GOMP,100,41.683288,15.639067,0.00039534628,0.02425879,7.73,0.8,0.8
40,CoSaMP,100,49.139362,2.7347113,2.2965276e-07,1.4701165e-05,8,1,1
40,SP,100,49.139362,2.7347113,2.2965276e-07,1.4701165e-05,8,1,1
40,IHT,100,31.456358,14.528621,0.00097840412,0.060050493,7.53,0.79,0.78
40,HTP,100,43.433171,15.097312,0.00077824815,0.049175393,7.6,0.87,0.87
40,GP,100,31.456358,14.528621,0.00097840412,0.060050493,7.53,0.79,0.78
40,MP,100,36.519872,6.9821667,0.00021762256,0.011157193,7.93,0.98,0.94
