algorithm,iter,fixed_support_len,float_support_len,support_overlap,support_jaccard,x_mse_fixed_vs_float,x_nmse_fixed_vs_float,r_mse_fixed_vs_float,r_nmse_fixed_vs_float,fixed_res_norm,float_res_norm
OMP,0,1,1,1,1.0,0.0,0.0,0.0,0.0,8.232447592264101,8.232447592264101
OMP,1,2,2,2,1.0,2.286500004914729e-13,5.137156372768762e-12,3.380273707379378e-11,4.2149326464271194e-11,7.164240270711159,7.164247835211661
OMP,2,3,3,3,1.0,1.1275895247157002e-13,2.155524125045674e-12,1.9093964315159944e-12,3.025442477099665e-12,6.355410252479497,6.355410252469883
OMP,3,4,4,4,1.0,2.8858107379161194e-13,5.5005879434348296e-12,8.228448515914373e-11,1.572035804349543e-10,5.787854206897209,5.787856413102031
OMP,4,5,5,5,1.0,2.216582365339341e-13,4.2545585122180945e-12,7.099389428829123e-11,1.6570916515925785e-10,5.236334914122487,5.236332575105837
OMP,5,6,6,6,1.0,2.595600452164195e-12,4.778288579474541e-11,1.0842981360200928e-10,3.2414811822899345e-10,4.626923127563234,4.6269263886548995
OMP,6,7,7,7,1.0,4.135191861900393e-12,6.734162841671214e-11,9.329343293164347e-11,3.4531486072967603e-10,4.158219033418463,4.158224086176386
OMP,7,8,8,8,1.0,1.1291960460726387e-11,1.688420681925354e-10,1.309229423264021e-10,6.11002424070471e-10,3.703188642312577,3.703193443408793
OMP,8,9,9,9,1.0,8.137012175967005e-12,1.1899879973232317e-10,1.300379329795128e-10,7.60815818077909e-10,3.3073878021485537,3.3073887822188173
OMP,9,10,10,10,1.0,8.198634363724131e-12,1.1826383452168365e-10,1.083110367170729e-10,7.370290110703028e-10,3.066784448292372,3.0667900948156914
OMP,10,11,11,11,1.0,9.497111906205323e-12,1.3937428498871702e-10,1.0701322730090332e-10,9.043512656079684e-10,2.7519496625136664,2.751947487668374
OMP,11,12,12,12,1.0,9.710970336828932e-12,1.441280869374675e-10,1.3825589808868588e-10,1.6891399866297653e-09,2.2887480251441046,2.2887533834433635
OMP,12,13,13,13,1.0,1.140152733709882e-11,1.7431710951732015e-10,1.277089842230619e-10,2.2651001608269265e-09,1.8995745654802678,1.8995774562678478
OMP,13,14,14,14,1.0,1.2673776808517362e-11,1.9305808244046033e-10,1.9998603936866276e-10,4.858349704387888e-09,1.6231046334552293,1.6231006088465587
OMP,14,15,15,15,1.0,2.272864609345148e-11,3.250256694618247e-10,2.6818359858317585e-10,1.1539684255414174e-08,1.2195742587810448,1.2195767348815605
OMP,15,16,16,16,1.0,3.080227937067869e-11,4.2582900399399383e-10,3.078025203529807e-10,3.142716691952754e-08,0.791726923133506,0.7917233555994869
gOMP,0,2,2,2,1.0,2.286500004914729e-13,5.137156372768762e-12,3.380273707379378e-11,4.2149326464271194e-11,7.164240270711159,7.164247835211661
gOMP,1,4,4,4,1.0,1.2865878666731299e-12,2.5251895396316344e-11,7.822924521228946e-11,1.4636504158026741e-10,5.8486484408587796,5.848653286762018
gOMP,2,6,6,6,1.0,1.8054981068708013e-12,3.3237746499583e-11,5.529045481853685e-11,1.652893820442922e-10,4.6269218319776275,4.6269263886548995
gOMP,3,8,8,8,1.0,4.090143877712429e-12,6.4423445422298e-11,1.2897463264371692e-10,5.789569054413618e-10,3.775886457510422,3.775887250571129
gOMP,4,10,10,10,1.0,5.088426366795733e-12,6.951398878626649e-11,1.3784509150440156e-10,9.200950508893119e-10,3.096484491342971,3.09648722541666
gOMP,5,12,12,12,1.0,7.646367831591982e-12,1.0360610195747819e-10,1.0530421232314765e-10,9.42734797061721e-10,2.673727717545,2.673733332017352
gOMP,6,14,14,14,1.0,1.8208148556758418e-11,2.5587415557263637e-10,2.6840303970897544e-10,3.651353763676861e-09,2.168974778302827,2.168985986166088
gOMP,7,16,16,16,1.0,3.215807986048459e-11,4.751509852286109e-10,2.879373541945207e-10,7.350950721697266e-09,1.583310097587755,1.5833146716331707
gOMP,8,18,18,18,1.0,0.01416418017550983,0.19743785767486202,0.12155573514701774,12.745970977598558,2.8965355889238893,0.7812521966516397
gOMP,9,20,20,19,0.9047619047619048,0.021488859475539343,0.3014327685335929,0.1355658505526662,1.1587042204895282e+30,2.9455414502890025,2.7363953526746768e-15
gOMP,10,22,22,19,0.76,0.031258811516636335,0.4384797670278849,0.18586078924636237,1.453764258849888e+30,3.448925993953363,2.860466604394115e-15
gOMP,11,24,24,19,0.6551724137931034,0.051223487326751624,0.718532205788954,0.2511338206168147,1.8166545448532321e+30,4.009060303796407,2.9744482271730743e-15
gOMP,12,26,26,20,0.625,0.05553284251072909,0.7789812428902271,0.333201541165181,2.5111795967367572e+30,4.617888980321157,2.914101005146283e-15
gOMP,13,28,28,21,0.6,0.06307184739398507,0.8847338593348041,0.3796315724212036,3.0100210086176225e+30,4.929139948810241,2.8410991191567563e-15
gOMP,14,30,30,22,0.5789473684210527,0.06307184739398507,0.8847338593348039,0.37963157242120354,1.9436965103878048e+30,4.929139948810241,3.5355494948794685e-15
gOMP,15,32,32,22,0.5238095238095238,0.06307184739398508,0.8847338593348039,0.37963157242120354,1.5980807620952042e+30,4.929139948810241,3.8991665590357655e-15
CoSaMP,0,16,16,8,0.3333333333333333,0.06590022395305721,1.136652452227104,0.4138492552589508,2.889549613407805,5.457283087167657,3.0275825828578062
CoSaMP,1,16,16,1,0.03225806451612903,0.132602714416862,1.860070952915982,0.5552623042567574,9.007886641062827e+30,5.9612739806548465,1.9862212611093494e-15
CoSaMP,2,16,16,1,0.03225806451612903,0.13791915235924534,1.9346467399433867,0.6122235064722189,7.432637590242593e+30,6.259577015599538,2.296008589656568e-15
CoSaMP,3,16,16,1,0.03225806451612903,0.11338601959687367,1.5905107406465566,0.8083967852035129,2.284318959598288e+31,7.192871071625351,1.5049563497322403e-15
CoSaMP,4,16,16,1,0.03225806451612903,0.12603134025630425,1.767891677019939,0.6957949446987186,1.0441543079605696e+31,6.673145919333549,2.065134201172189e-15
CoSaMP,5,16,16,1,0.03225806451612903,0.12603134025630425,1.767891677019939,0.6957949446987186,8.111757295635297e+30,6.673145919333549,2.34300463368756e-15
CoSaMP,6,16,16,1,0.03225806451612903,0.12603134025630425,1.767891677019939,0.6957949446987186,1.8018822471539007e+31,6.673145919333549,1.5720538491532983e-15
CoSaMP,7,16,16,1,0.03225806451612903,0.12603134025630425,1.767891677019939,0.6957949446987185,1.231059152139221e+31,6.673145919333549,1.9019152508847777e-15
CoSaMP,8,16,16,1,0.03225806451612903,0.12603134025630425,1.767891677019939,0.6957949446987186,1.0732339860508194e+31,6.673145919333549,2.036964278574335e-15
CoSaMP,9,16,16,1,0.03225806451612903,0.12603134025630425,1.7678916770199387,0.6957949446987186,1.6356644733643784e+31,6.673145919333549,1.6499983543585116e-15
CoSaMP,10,16,16,1,0.03225806451612903,0.12603134025630425,1.7678916770199387,0.6957949446987186,1.0018090552633818e+31,6.673145919333549,2.1083278472869773e-15
CoSaMP,11,16,16,1,0.03225806451612903,0.12603134025630425,1.767891677019939,0.6957949446987186,1.9785857432379644e+31,6.673145919333549,1.5002138957531768e-15
CoSaMP,12,16,16,1,0.03225806451612903,0.12603134025630425,1.767891677019939,0.6957949446987185,2.123599650576676e+31,6.673145919333549,1.448085813565212e-15
CoSaMP,13,16,16,1,0.03225806451612903,0.12603134025630425,1.767891677019939,0.6957949446987186,2.271068951525278e+31,6.673145919333549,1.4002818560492187e-15
CoSaMP,14,16,16,1,0.03225806451612903,0.12603134025630425,1.767891677019939,0.6957949446987186,1.6158888109217174e+31,6.673145919333549,1.6600642028017157e-15
CoSaMP,15,16,16,1,0.03225806451612903,0.12603134025630425,1.767891677019939,0.6957949446987185,2.2079596061381637e+31,6.673145919333549,1.4201527515596038e-15
SP,0,16,16,16,1.0,9.018995928088634e-12,1.767267561348781e-10,1.2009827119516326e-10,6.391334427620772e-10,3.467870010652314,3.467868281974518
SP,1,16,16,7,0.28,0.04767246939022923,0.6872807892570206,0.4490449557035558,43.65125320808311,5.371030111391023,0.8114028704685983
SP,2,16,16,4,0.14285714285714285,0.08466374481940875,1.187611982124309,0.44175664221256744,5.233842842206977e+30,5.317182063988811,2.3241876662647787e-15
SP,3,16,16,4,0.14285714285714285,0.0887619765535419,1.2450995067236563,0.40337927811197005,8.141749109966292e+30,5.080971737686216,1.7806883670196607e-15
SP,4,16,16,4,0.14285714285714285,0.0887619765535419,1.2450995067236563,0.40337927811197,2.7672534547168663e+31,5.080971737686216,9.658780798119278e-16
SP,5,16,16,4,0.14285714285714285,0.0887619765535419,1.2450995067236563,0.40337927811197005,9.367933283002658e+30,5.080971737686216,1.6600642028017157e-15
SP,6,16,16,4,0.14285714285714285,0.08876197655354189,1.245099506723656,0.40337927811197,1.2800396996417591e+31,5.080971737686216,1.4201527515596038e-15
