case,m,n,k,algorithm,algorithm_id,cycles
0,64,256,16,OMP,0,84214
0,64,256,16,IHT,2,57233
0,64,256,16,HTP,3,112945
0,64,256,16,GP,5,57233
0,64,256,16,GOMP,6,46355
0,64,256,16,MP,7,49521
1,64,256,8,OMP,0,34522
1,64,256,8,CoSaMP,1,107504
1,64,256,8,IHT,2,28633
1,64,256,8,HTP,3,39707
1,64,256,8,SP,4,96127
1,64,256,8,GP,5,28633
1,64,256,8,GOMP,6,19605
1,64,256,8,MP,7,25673
2,64,256,4,OMP,0,16810
2,64,256,4,CoSaMP,1,38462
2,64,256,4,IHT,2,15389
2,64,256,4,HTP,3,19563
2,64,256,4,SP,4,29446
2,64,256,4,GP,5,15389
2,64,256,4,GOMP,6,9997
2,64,256,4,MP,7,13749
3,32,128,8,OMP,0,14938
3,32,128,8,CoSaMP,1,75856
3,32,128,8,IHT,2,10681
3,32,128,8,HTP,3,18683
3,32,128,8,SP,4,65701
3,32,128,8,GP,5,10681
3,32,128,8,GOMP,6,8869
3,32,128,8,MP,7,9001
4,32,128,4,OMP,0,6810
4,32,128,4,CoSaMP,1,23052
4,32,128,4,IHT,2,5837
4,32,128,4,HTP,3,8475
4,32,128,4,SP,4,15617
4,32,128,4,GP,5,5837
4,32,128,4,GOMP,6,4293
4,32,128,4,MP,7,4965
5,32,128,2,OMP,0,3728
5,32,128,2,CoSaMP,1,7064
5,32,128,2,IHT,2,3359
5,32,128,2,HTP,3,4605
5,32,128,2,SP,4,6283
5,32,128,2,GP,5,3359
5,32,128,2,GOMP,6,2529
5,32,128,2,MP,7,2947
6,16,64,4,OMP,0,3346
6,16,64,4,CoSaMP,1,16936
6,16,64,4,IHT,2,2597
6,16,64,4,HTP,3,4467
6,16,64,4,SP,4,10285
6,16,64,4,GP,5,2597
6,16,64,4,GOMP,6,2209
6,16,64,4,MP,7,2109
7,16,64,2,OMP,0,1772
7,16,64,2,CoSaMP,1,4171
7,16,64,2,IHT,2,1515
7,16,64,2,HTP,3,2313
7,16,64,2,SP,4,3447
7,16,64,2,GP,5,1515
7,16,64,2,GOMP,6,1263
7,16,64,2,MP,7,1295
