case,m,n,k,algorithm,algorithm_id,cycles
0,64,256,16,OMP,0,102635
0,64,256,16,IHT,2,64401
0,64,256,16,HTP,3,130613
0,64,256,16,GP,5,64401
0,64,256,16,GOMP,6,55683
0,64,256,16,MP,7,55665
1,64,256,8,OMP,0,42345
1,64,256,8,CoSaMP,1,133908
1,64,256,8,IHT,2,32217
1,64,256,8,HTP,3,47049
1,64,256,8,SP,4,121022
1,64,256,8,GP,5,32217
1,64,256,8,GOMP,6,23573
1,64,256,8,MP,7,28745
2,64,256,4,OMP,0,20407
2,64,256,4,CoSaMP,1,48942
2,64,256,4,IHT,2,16925
2,64,256,4,HTP,3,22927
2,64,256,4,SP,4,38359
2,64,256,4,GP,5,16925
2,64,256,4,GOMP,6,11803
2,64,256,4,MP,7,15285
3,32,128,8,OMP,0,16841
3,32,128,8,CoSaMP,1,86557
3,32,128,8,IHT,2,11449
3,32,128,8,HTP,3,20393
3,32,128,8,SP,4,75736
3,32,128,8,GP,5,11449
3,32,128,8,GOMP,6,9861
3,32,128,8,MP,7,9513
4,32,128,4,OMP,0,7591
4,32,128,4,CoSaMP,1,26661
4,32,128,4,IHT,2,6093
4,32,128,4,HTP,3,9151
4,32,128,4,SP,4,18350
4,32,128,4,GP,5,6093
4,32,128,4,GOMP,6,4691
4,32,128,4,MP,7,5221
5,32,128,2,OMP,0,4113
5,32,128,2,CoSaMP,1,8120
5,32,128,2,IHT,2,3487
5,32,128,2,HTP,3,4995
5,32,128,2,SP,4,7245
5,32,128,2,GP,5,3487
5,32,128,2,GOMP,6,2724
5,32,128,2,MP,7,3075
6,16,64,4,OMP,0,3487
6,16,64,4,CoSaMP,1,18569
6,16,64,4,IHT,2,2597
6,16,64,4,HTP,3,4567
6,16,64,4,SP,4,11426
6,16,64,4,GP,5,2597
6,16,64,4,GOMP,6,2287
6,16,64,4,MP,7,2109
7,16,64,2,OMP,0,1837
7,16,64,2,CoSaMP,1,4511
7,16,64,2,IHT,2,1515
7,16,64,2,HTP,3,2383
7,16,64,2,SP,4,3737
7,16,64,2,GP,5,1515
7,16,64,2,GOMP,6,1298
7,16,64,2,MP,7,1295
