case,m,n,k,algorithm,algorithm_id,cycles
0,64,256,16,OMP,0,84014
0,64,256,16,IHT,2,57233
0,64,256,16,HTP,3,112561
0,64,256,16,GP,5,57233
0,64,256,16,GOMP,6,46247
0,64,256,16,MP,7,49521
1,64,256,8,OMP,0,34470
1,64,256,8,CoSaMP,1,107216
1,64,256,8,IHT,2,28633
1,64,256,8,HTP,3,39611
1,64,256,8,SP,4,95851
1,64,256,8,GP,5,28633
1,64,256,8,GOMP,6,19575
1,64,256,8,MP,7,25673
2,64,256,4,OMP,0,16796
2,64,256,4,CoSaMP,1,38372
2,64,256,4,IHT,2,15389
2,64,256,4,HTP,3,19539
2,64,256,4,SP,4,29380
2,64,256,4,GP,5,15389
2,64,256,4,GOMP,6,9988
2,64,256,4,MP,7,13749
3,32,128,8,OMP,0,14886
3,32,128,8,CoSaMP,1,75568
3,32,128,8,IHT,2,10681
3,32,128,8,HTP,3,18587
3,32,128,8,SP,4,65425
3,32,128,8,GP,5,10681
3,32,128,8,GOMP,6,8839
3,32,128,8,MP,7,9001
4,32,128,4,OMP,0,6796
4,32,128,4,CoSaMP,1,22962
4,32,128,4,IHT,2,5837
4,32,128,4,HTP,3,8451
4,32,128,4,SP,4,15551
4,32,128,4,GP,5,5837
4,32,128,4,GOMP,6,4284
4,32,128,4,MP,7,4965
5,32,128,2,OMP,0,3725
5,32,128,2,CoSaMP,1,7043
5,32,128,2,IHT,2,3359
5,32,128,2,HTP,3,4599
5,32,128,2,SP,4,6268
5,32,128,2,GP,5,3359
5,32,128,2,GOMP,6,2526
5,32,128,2,MP,7,2947
6,16,64,4,OMP,0,3332
6,16,64,4,CoSaMP,1,16846
6,16,64,4,IHT,2,2597
6,16,64,4,HTP,3,4443
6,16,64,4,SP,4,10219
6,16,64,4,GP,5,2597
6,16,64,4,GOMP,6,2200
6,16,64,4,MP,7,2109
7,16,64,2,OMP,0,1769
7,16,64,2,CoSaMP,1,4150
7,16,64,2,IHT,2,1515
7,16,64,2,HTP,3,2307
7,16,64,2,SP,4,3432
7,16,64,2,GP,5,1515
7,16,64,2,GOMP,6,1260
7,16,64,2,MP,7,1295
