case,m,n,k,algorithm,algorithm_id,cycles
0,64,256,16,OMP,0,100106
0,64,256,16,IHT,2,64401
0,64,256,16,HTP,3,129085
0,64,256,16,GP,5,64401
0,64,256,16,GOMP,6,54419
0,64,256,16,MP,7,55665
1,64,256,8,OMP,0,41592
1,64,256,8,CoSaMP,1,126392
1,64,256,8,IHT,2,32217
1,64,256,8,HTP,3,46797
1,64,256,8,SP,4,114069
1,64,256,8,GP,5,32217
1,64,256,8,GOMP,6,23197
1,64,256,8,MP,7,28745
2,64,256,4,OMP,0,20158
2,64,256,4,CoSaMP,1,46663
2,64,256,4,IHT,2,16925
2,64,256,4,HTP,3,22803
2,64,256,4,SP,4,36703
2,64,256,4,GP,5,16925
2,64,256,4,GOMP,6,11679
2,64,256,4,MP,7,15285
3,32,128,8,OMP,0,16472
3,32,128,8,CoSaMP,1,82200
3,32,128,8,IHT,2,11449
3,32,128,8,HTP,3,20269
3,32,128,8,SP,4,71419
3,32,128,8,GP,5,11449
3,32,128,8,GOMP,6,9677
3,32,128,8,MP,7,9513
4,32,128,4,OMP,0,7470
4,32,128,4,CoSaMP,1,25333
4,32,128,4,IHT,2,6093
4,32,128,4,HTP,3,9091
4,32,128,4,SP,4,17306
4,32,128,4,GP,5,6093
4,32,128,4,GOMP,6,4631
4,32,128,4,MP,7,5221
5,32,128,2,OMP,0,4052
5,32,128,2,CoSaMP,1,7793
5,32,128,2,IHT,2,3487
5,32,128,2,HTP,3,4935
5,32,128,2,SP,4,6951
5,32,128,2,GP,5,3487
5,32,128,2,GOMP,6,2694
5,32,128,2,MP,7,3075
6,16,64,4,OMP,0,3430
6,16,64,4,CoSaMP,1,17793
6,16,64,4,IHT,2,2597
6,16,64,4,HTP,3,4539
6,16,64,4,SP,4,10726
6,16,64,4,GP,5,2597
6,16,64,4,GOMP,6,2259
6,16,64,4,MP,7,2109
7,16,64,2,OMP,0,1808
7,16,64,2,CoSaMP,1,4308
7,16,64,2,IHT,2,1515
7,16,64,2,HTP,3,2355
7,16,64,2,SP,4,3539
7,16,64,2,GP,5,1515
7,16,64,2,GOMP,6,1284
7,16,64,2,MP,7,1295
