case,m,n,k,algorithm,algorithm_id,cycles
0,64,256,16,OMP,0,83006
0,64,256,16,IHT,2,57233
0,64,256,16,HTP,3,112309
0,64,256,16,GP,5,57233
0,64,256,16,GOMP,6,45743
0,64,256,16,MP,7,49521
1,64,256,8,OMP,0,33966
1,64,256,8,CoSaMP,1,106208
1,64,256,8,IHT,2,28633
1,64,256,8,HTP,3,39485
1,64,256,8,SP,4,94843
1,64,256,8,GP,5,28633
1,64,256,8,GOMP,6,19323
1,64,256,8,MP,7,25673
2,64,256,4,OMP,0,16544
2,64,256,4,CoSaMP,1,37868
2,64,256,4,IHT,2,15389
2,64,256,4,HTP,3,19413
2,64,256,4,SP,4,28876
2,64,256,4,GP,5,15389
2,64,256,4,GOMP,6,9862
2,64,256,4,MP,7,13749
3,32,128,8,OMP,0,14638
3,32,128,8,CoSaMP,1,75072
3,32,128,8,IHT,2,10681
3,32,128,8,HTP,3,18525
3,32,128,8,SP,4,64929
3,32,128,8,GP,5,10681
3,32,128,8,GOMP,6,8715
3,32,128,8,MP,7,9001
4,32,128,4,OMP,0,6672
4,32,128,4,CoSaMP,1,22714
4,32,128,4,IHT,2,5837
4,32,128,4,HTP,3,8389
4,32,128,4,SP,4,15303
4,32,128,4,GP,5,5837
4,32,128,4,GOMP,6,4222
4,32,128,4,MP,7,4965
5,32,128,2,OMP,0,3663
5,32,128,2,CoSaMP,1,6919
5,32,128,2,IHT,2,3359
5,32,128,2,HTP,3,4537
5,32,128,2,SP,4,6144
5,32,128,2,GP,5,3359
5,32,128,2,GOMP,6,2495
5,32,128,2,MP,7,2947
6,16,64,4,OMP,0,3272
6,16,64,4,CoSaMP,1,16726
6,16,64,4,IHT,2,2597
6,16,64,4,HTP,3,4413
6,16,64,4,SP,4,10099
6,16,64,4,GP,5,2597
6,16,64,4,GOMP,6,2170
6,16,64,4,MP,7,2109
7,16,64,2,OMP,0,1739
7,16,64,2,CoSaMP,1,4090
7,16,64,2,IHT,2,1515
7,16,64,2,HTP,3,2277
7,16,64,2,SP,4,3372
7,16,64,2,GP,5,1515
7,16,64,2,GOMP,6,1245
7,16,64,2,MP,7,1295
