case,m,n,k,algorithm,algorithm_id,cycles
0,64,256,16,OMP,0,84554
0,64,256,16,IHT,2,57233
0,64,256,16,HTP,3,113665
0,64,256,16,GP,5,57233
0,64,256,16,GOMP,6,46539
0,64,256,16,MP,7,49521
1,64,256,8,OMP,0,34584
1,64,256,8,CoSaMP,1,108200
1,64,256,8,IHT,2,28633
1,64,256,8,HTP,3,39807
1,64,256,8,SP,4,96741
1,64,256,8,GP,5,28633
1,64,256,8,GOMP,6,19641
1,64,256,8,MP,7,25673
2,64,256,4,OMP,0,16822
2,64,256,4,CoSaMP,1,38623
2,64,256,4,IHT,2,15389
2,64,256,4,HTP,3,19581
2,64,256,4,SP,4,29527
2,64,256,4,GP,5,15389
2,64,256,4,GOMP,6,10005
2,64,256,4,MP,7,13749
3,32,128,8,OMP,0,15000
3,32,128,8,CoSaMP,1,76552
3,32,128,8,IHT,2,10681
3,32,128,8,HTP,3,18783
3,32,128,8,SP,4,66315
3,32,128,8,GP,5,10681
3,32,128,8,GOMP,6,8905
3,32,128,8,MP,7,9001
4,32,128,4,OMP,0,6822
4,32,128,4,CoSaMP,1,23213
4,32,128,4,IHT,2,5837
4,32,128,4,HTP,3,8493
4,32,128,4,SP,4,15698
4,32,128,4,GP,5,5837
4,32,128,4,GOMP,6,4301
4,32,128,4,MP,7,4965
5,32,128,2,OMP,0,3730
5,32,128,2,CoSaMP,1,7085
5,32,128,2,IHT,2,3359
5,32,128,2,HTP,3,4609
5,32,128,2,SP,4,6295
5,32,128,2,GP,5,3359
5,32,128,2,GOMP,6,2531
5,32,128,2,MP,7,2947
6,16,64,4,OMP,0,3358
6,16,64,4,CoSaMP,1,17097
6,16,64,4,IHT,2,2597
6,16,64,4,HTP,3,4485
6,16,64,4,SP,4,10366
6,16,64,4,GP,5,2597
6,16,64,4,GOMP,6,2217
6,16,64,4,MP,7,2109
7,16,64,2,OMP,0,1774
7,16,64,2,CoSaMP,1,4192
7,16,64,2,IHT,2,1515
7,16,64,2,HTP,3,2317
7,16,64,2,SP,4,3459
7,16,64,2,GP,5,1515
7,16,64,2,GOMP,6,1265
7,16,64,2,MP,7,1295
