case,m,n,k,algorithm,algorithm_id,cycles
0,64,256,16,OMP,0,84434
0,64,256,16,IHT,2,57233
0,64,256,16,HTP,3,113521
0,64,256,16,GP,5,57233
0,64,256,16,GOMP,6,46475
0,64,256,16,MP,7,49521
1,64,256,8,OMP,0,34556
1,64,256,8,CoSaMP,1,107872
1,64,256,8,IHT,2,28633
1,64,256,8,HTP,3,39787
1,64,256,8,SP,4,96469
1,64,256,8,GP,5,28633
1,64,256,8,GOMP,6,19625
1,64,256,8,MP,7,25673
2,64,256,4,OMP,0,16816
2,64,256,4,CoSaMP,1,38547
2,64,256,4,IHT,2,15389
2,64,256,4,HTP,3,19575
2,64,256,4,SP,4,29491
2,64,256,4,GP,5,15389
2,64,256,4,GOMP,6,10001
2,64,256,4,MP,7,13749
3,32,128,8,OMP,0,14972
3,32,128,8,CoSaMP,1,76224
3,32,128,8,IHT,2,10681
3,32,128,8,HTP,3,18763
3,32,128,8,SP,4,66043
3,32,128,8,GP,5,10681
3,32,128,8,GOMP,6,8889
3,32,128,8,MP,7,9001
4,32,128,4,OMP,0,6816
4,32,128,4,CoSaMP,1,23137
4,32,128,4,IHT,2,5837
4,32,128,4,HTP,3,8487
4,32,128,4,SP,4,15662
4,32,128,4,GP,5,5837
4,32,128,4,GOMP,6,4297
4,32,128,4,MP,7,4965
5,32,128,2,OMP,0,3729
5,32,128,2,CoSaMP,1,7075
5,32,128,2,IHT,2,3359
5,32,128,2,HTP,3,4607
5,32,128,2,SP,4,6289
5,32,128,2,GP,5,3359
5,32,128,2,GOMP,6,2530
5,32,128,2,MP,7,2947
6,16,64,4,OMP,0,3352
6,16,64,4,CoSaMP,1,17021
6,16,64,4,IHT,2,2597
6,16,64,4,HTP,3,4479
6,16,64,4,SP,4,10330
6,16,64,4,GP,5,2597
6,16,64,4,GOMP,6,2213
6,16,64,4,MP,7,2109
7,16,64,2,OMP,0,1773
7,16,64,2,CoSaMP,1,4182
7,16,64,2,IHT,2,1515
7,16,64,2,HTP,3,2315
7,16,64,2,SP,4,3453
7,16,64,2,GP,5,1515
7,16,64,2,GOMP,6,1264
7,16,64,2,MP,7,1295
