rtl_version,m,n,k,omp,cosamp,iht,htp,sp,gp,gomp,mp,total_valid_cycles
v1,64,256,16,254745,skip,177402,489254,skip,178218,135502,132113,1367234
v1,64,256,8,87629,296144,83011,124299,275346,83419,47128,66969,1063945
v1,64,256,4,40355,94500,41286,50604,70803,41490,22067,34397,395502
v1,32,128,8,34509,209689,29457,61296,191148,29737,19413,20505,595754
v1,32,128,4,13859,54715,14349,19947,34378,14489,8021,10717,170475
v1,32,128,2,6837,13322,7437,8967,11413,7507,4146,5823,65452
v1,16,64,4,5987,40943,5877,10000,22318,5985,3687,3869,98666
v1,16,64,2,2741,7353,3007,3929,5609,3061,1787,2175,29662
v2,64,256,16,110785,skip,105466,173848,skip,106282,60894,60145,617420
v2,64,256,8,44751,155245,47107,61807,135110,47515,25102,30985,547622
v2,64,256,4,21573,54193,23350,28600,40349,23554,12507,16405,220531
v2,32,128,8,17999,102846,19665,28499,86241,19945,10699,10633,296527
v2,32,128,4,8133,30259,9469,11958,19220,9609,5053,5781,99482
v2,32,128,2,4403,9003,5001,6182,7325,5071,2913,3355,43253
v2,16,64,4,3717,21191,4453,5949,11736,4561,2479,2389,56475
v2,16,64,2,1971,4911,2299,2936,3665,2353,1402,1435,20972
