case,m,n,k,algorithm,algorithm_id,cycles
0,64,256,16,OMP,0,102635
0,64,256,16,IHT,2,80890
0,64,256,16,HTP,3,130613
0,64,256,16,GP,5,81706
0,64,256,16,GOMP,6,55683
0,64,256,16,MP,7,55665
1,64,256,8,OMP,0,42345
1,64,256,8,CoSaMP,1,141900
1,64,256,8,IHT,2,35843
1,64,256,8,HTP,3,47049
1,64,256,8,SP,4,124694
1,64,256,8,GP,5,36251
1,64,256,8,GOMP,6,23573
1,64,256,8,MP,7,28745
2,64,256,4,OMP,0,20407
2,64,256,4,CoSaMP,1,50799
2,64,256,4,IHT,2,17718
2,64,256,4,HTP,3,22927
2,64,256,4,SP,4,39207
2,64,256,4,GP,5,17922
2,64,256,4,GOMP,6,11803
2,64,256,4,MP,7,15285
3,32,128,8,OMP,0,16841
3,32,128,8,CoSaMP,1,92501
3,32,128,8,IHT,2,14001
3,32,128,8,HTP,3,20393
3,32,128,8,SP,4,78384
3,32,128,8,GP,5,14281
3,32,128,8,GOMP,6,9861
3,32,128,8,MP,7,9513
4,32,128,4,OMP,0,7591
4,32,128,4,CoSaMP,1,27983
4,32,128,4,IHT,2,6637
4,32,128,4,HTP,3,9151
4,32,128,4,SP,4,18946
4,32,128,4,GP,5,6777
4,32,128,4,GOMP,6,4691
4,32,128,4,MP,7,5221
5,32,128,2,OMP,0,4113
5,32,128,2,CoSaMP,1,8418
5,32,128,2,IHT,2,3585
5,32,128,2,HTP,3,4995
5,32,128,2,SP,4,7373
5,32,128,2,GP,5,3655
5,32,128,2,GOMP,6,2724
5,32,128,2,MP,7,3075
6,16,64,4,OMP,0,3487
6,16,64,4,CoSaMP,1,19643
6,16,64,4,IHT,2,3021
6,16,64,4,HTP,3,4567
6,16,64,4,SP,4,11900
6,16,64,4,GP,5,3129
6,16,64,4,GOMP,6,2287
6,16,64,4,MP,7,2109
7,16,64,2,OMP,0,1837
7,16,64,2,CoSaMP,1,4745
7,16,64,2,IHT,2,1583
7,16,64,2,HTP,3,2383
7,16,64,2,SP,4,3833
7,16,64,2,GP,5,1637
7,16,64,2,GOMP,6,1298
7,16,64,2,MP,7,1295
