case,m,n,k,algorithm,algorithm_id,cycles
0,64,256,16,OMP,0,84698
0,64,256,16,IHT,2,57233
0,64,256,16,HTP,3,114241
0,64,256,16,GP,5,57233
0,64,256,16,GOMP,6,46683
0,64,256,16,MP,7,49521
1,64,256,8,OMP,0,34624
1,64,256,8,CoSaMP,1,109512
1,64,256,8,IHT,2,28633
1,64,256,8,HTP,3,39887
1,64,256,8,SP,4,97829
1,64,256,8,GP,5,28633
1,64,256,8,GOMP,6,19681
1,64,256,8,MP,7,25673
2,64,256,4,OMP,0,16834
2,64,256,4,CoSaMP,1,38927
2,64,256,4,IHT,2,15389
2,64,256,4,HTP,3,19605
2,64,256,4,SP,4,29671
2,64,256,4,GP,5,15389
2,64,256,4,GOMP,6,10017
2,64,256,4,MP,7,13749
3,32,128,8,OMP,0,15040
3,32,128,8,CoSaMP,1,77864
3,32,128,8,IHT,2,10681
3,32,128,8,HTP,3,18863
3,32,128,8,SP,4,67403
3,32,128,8,GP,5,10681
3,32,128,8,GOMP,6,8945
3,32,128,8,MP,7,9001
4,32,128,4,OMP,0,6834
4,32,128,4,CoSaMP,1,23517
4,32,128,4,IHT,2,5837
4,32,128,4,HTP,3,8517
4,32,128,4,SP,4,15842
4,32,128,4,GP,5,5837
4,32,128,4,GOMP,6,4313
4,32,128,4,MP,7,4965
5,32,128,2,OMP,0,3734
5,32,128,2,CoSaMP,1,7125
5,32,128,2,IHT,2,3359
5,32,128,2,HTP,3,4617
5,32,128,2,SP,4,6315
5,32,128,2,GP,5,3359
5,32,128,2,GOMP,6,2535
5,32,128,2,MP,7,2947
6,16,64,4,OMP,0,3370
6,16,64,4,CoSaMP,1,17401
6,16,64,4,IHT,2,2597
6,16,64,4,HTP,3,4509
6,16,64,4,SP,4,10510
6,16,64,4,GP,5,2597
6,16,64,4,GOMP,6,2229
6,16,64,4,MP,7,2109
7,16,64,2,OMP,0,1778
7,16,64,2,CoSaMP,1,4232
7,16,64,2,IHT,2,1515
7,16,64,2,HTP,3,2325
7,16,64,2,SP,4,3479
7,16,64,2,GP,5,1515
7,16,64,2,GOMP,6,1269
7,16,64,2,MP,7,1295
