case,m,n,k,algorithm,algorithm_id,cycles
0,64,256,16,OMP,0,82712
0,64,256,16,IHT,2,56977
0,64,256,16,HTP,3,111733
0,64,256,16,GP,5,56977
0,64,256,16,GOMP,6,45575
0,64,256,16,MP,7,49521
1,64,256,8,OMP,0,33912
1,64,256,8,CoSaMP,1,105376
1,64,256,8,IHT,2,28569
1,64,256,8,HTP,3,39389
1,64,256,8,SP,4,94187
1,64,256,8,GP,5,28569
1,64,256,8,GOMP,6,19287
1,64,256,8,MP,7,25673
2,64,256,4,OMP,0,16538
2,64,256,4,CoSaMP,1,37692
2,64,256,4,IHT,2,15373
2,64,256,4,HTP,3,19393
2,64,256,4,SP,4,28808
2,64,256,4,GP,5,15373
2,64,256,4,GOMP,6,9856
2,64,256,4,MP,7,13749
3,32,128,8,OMP,0,14584
3,32,128,8,CoSaMP,1,74240
3,32,128,8,IHT,2,10617
3,32,128,8,HTP,3,18429
3,32,128,8,SP,4,64273
3,32,128,8,GP,5,10617
3,32,128,8,GOMP,6,8679
3,32,128,8,MP,7,9001
4,32,128,4,OMP,0,6666
4,32,128,4,CoSaMP,1,22538
4,32,128,4,IHT,2,5821
4,32,128,4,HTP,3,8369
4,32,128,4,SP,4,15235
4,32,128,4,GP,5,5821
4,32,128,4,GOMP,6,4216
4,32,128,4,MP,7,4965
5,32,128,2,OMP,0,3661
5,32,128,2,CoSaMP,1,6897
5,32,128,2,IHT,2,3355
5,32,128,2,HTP,3,4533
5,32,128,2,SP,4,6138
5,32,128,2,GP,5,3355
5,32,128,2,GOMP,6,2493
5,32,128,2,MP,7,2947
6,16,64,4,OMP,0,3266
6,16,64,4,CoSaMP,1,16550
6,16,64,4,IHT,2,2581
6,16,64,4,HTP,3,4393
6,16,64,4,SP,4,10031
6,16,64,4,GP,5,2581
6,16,64,4,GOMP,6,2164
6,16,64,4,MP,7,2109
7,16,64,2,OMP,0,1737
7,16,64,2,CoSaMP,1,4068
7,16,64,2,IHT,2,1511
7,16,64,2,HTP,3,2273
7,16,64,2,SP,4,3366
7,16,64,2,GP,5,1511
7,16,64,2,GOMP,6,1243
7,16,64,2,MP,7,1295
