
Case  M   N  K Alg OldCycles NewCycles DeltaCycles ImprovementPct OldStatus
----  -   -  - --- --------- --------- ----------- -------------- ---------
   0 64 256 16   0    229105    229105           0              0 PASS     
   0 64 256 16   1                                                SKIP     
   0 64 256 16   2    163066    141562      -21504          13.19 PASS     
   0 64 256 16   3    438934    417430      -21504            4.9 PASS     
   0 64 256 16   4                                                SKIP     
   0 64 256 16   5    163882    142378      -21504          13.12 PASS     
   0 64 256 16   6    122074    122074           0              0 PASS     
   0 64 256 16   7    117777    117777           0              0 PASS     
   1 64 256  8   0     79337     79337           0              0 PASS     
   1 64 256  8   1    260704    260704           0              0 PASS     
   1 64 256  8   2     75843     65091      -10752          14.18 PASS     
   1 64 256  8   3    114019    103267      -10752           9.43 PASS     
   1 64 256  8   4    241766    241766           0              0 PASS     
   1 64 256  8   5     76251     65499      -10752           14.1 PASS     
   1 64 256  8   6     42870     42870           0              0 PASS     
   1 64 256  8   7     59801     59801           0              0 PASS     
   2 64 256  4   0     36637     36637           0              0 PASS     
   2 64 256  4   1     83430     83430           0              0 PASS     
   2 64 256  4   2     37702     32326       -5376          14.26 PASS     
   2 64 256  4   3     46720     41344       -5376          11.51 PASS     
   2 64 256  4   4     62093     62093           0              0 PASS     
   2 64 256  4   5     37906     32530       -5376          14.18 PASS     
   2 64 256  4   6     20184     20184           0              0 PASS     
   2 64 256  4   7     30813     30813           0              0 PASS     
   3 32 128  8   0     29801     29801           0              0 PASS     
   3 32 128  8   1    181417    181417           0              0 PASS     
   3 32 128  8   2     25873     20497       -5376          20.78 PASS     
   3 32 128  8   3     54600     49224       -5376           9.85 PASS     
   3 32 128  8   4    164736    164736           0              0 PASS     
   3 32 128  8   5     26153     20777       -5376          20.56 PASS     
   3 32 128  8   6     16947     16947           0              0 PASS     
   3 32 128  8   7     16921     16921           0              0 PASS     
   4 32 128  4   0     11933     11933           0              0 PASS     
   4 32 128  4   1     47229     47229           0              0 PASS     
   4 32 128  4   2     12557      9869       -2688          21.41 PASS     
   4 32 128  4   3     17855     15167       -2688          15.05 PASS     
   4 32 128  4   4     29252     29252           0              0 PASS     
   4 32 128  4   5     12697     10009       -2688          21.17 PASS     
   4 32 128  4   6      7034      7034           0              0 PASS     
   4 32 128  4   7      8925      8925           0              0 PASS     
   5 32 128  2   0      5921      5921           0              0 PASS     
   5 32 128  2   1     11229     11229           0              0 PASS     
   5 32 128  2   2      6541      5197       -1344          20.55 PASS     
   5 32 128  2   3      8039      6695       -1344          16.72 PASS     
   5 32 128  2   4      9498      9498           0              0 PASS     
   5 32 128  2   5      6611      5267       -1344          20.33 PASS     
   5 32 128  2   6      3682      3682           0              0 PASS     
   5 32 128  2   7      4927      4927           0              0 PASS     
   6 16  64  4   0      4957      4957           0              0 PASS     
   6 16  64  4   1     35249     35249           0              0 PASS     
   6 16  64  4   2      4981      3637       -1344          26.98 PASS     
   6 16  64  4   3      8804      7460       -1344          15.27 PASS     
   6 16  64  4   4     18984     18984           0              0 PASS     
   6 16  64  4   5      5089      3745       -1344          26.41 PASS     
   6 16  64  4   6      3148      3148           0              0 PASS     
   6 16  64  4   7      2973      2973           0              0 PASS     
   7 16  64  2   0      2273      2273           0              0 PASS     
   7 16  64  2   1      6156      6156           0              0 PASS     
   7 16  64  2   2      2559      1887        -672          26.26 PASS     
   7 16  64  2   3      3449      2777        -672          19.48 PASS     
   7 16  64  2   4      4590      4590           0              0 PASS     
   7 16  64  2   5      2613      1941        -672          25.72 PASS     
   7 16  64  2   6      1547      1547           0              0 PASS     
   7 16  64  2   7      1727      1727           0              0 PASS     



