"Label","Case","M","N","K","Alg","Iter","Cycles","Status","NZ"
"gp_opt","0","64","256","16","0","16","229105","PASS","16"
"gp_opt","0","64","256","16","1",,,"SKIP",
"gp_opt","0","64","256","16","2","16","163066","PASS","16"
"gp_opt","0","64","256","16","3","16","438934","PASS","16"
"gp_opt","0","64","256","16","4",,,"SKIP",
"gp_opt","0","64","256","16","5","16","163882","PASS","16"
"gp_opt","0","64","256","16","6","8","122074","PASS","16"
"gp_opt","0","64","256","16","7","16","117777","PASS","15"
"gp_opt","1","64","256","8","0","8","79337","PASS","8"
"gp_opt","1","64","256","8","1","8","260704","PASS","8"
"gp_opt","1","64","256","8","2","8","75843","PASS","8"
"gp_opt","1","64","256","8","3","8","114019","PASS","8"
"gp_opt","1","64","256","8","4","8","241766","PASS","8"
"gp_opt","1","64","256","8","5","8","76251","PASS","8"
"gp_opt","1","64","256","8","6","4","42870","PASS","8"
"gp_opt","1","64","256","8","7","8","59801","PASS","8"
"gp_opt","2","64","256","4","0","4","36637","PASS","4"
"gp_opt","2","64","256","4","1","4","83430","PASS","4"
"gp_opt","2","64","256","4","2","4","37702","PASS","4"
"gp_opt","2","64","256","4","3","4","46720","PASS","4"
"gp_opt","2","64","256","4","4","4","62093","PASS","4"
"gp_opt","2","64","256","4","5","4","37906","PASS","4"
"gp_opt","2","64","256","4","6","2","20184","PASS","4"
"gp_opt","2","64","256","4","7","4","30813","PASS","4"
"gp_opt","3","32","128","8","0","8","29801","PASS","8"
"gp_opt","3","32","128","8","1","8","181417","PASS","8"
"gp_opt","3","32","128","8","2","8","25873","PASS","8"
"gp_opt","3","32","128","8","3","8","54600","PASS","8"
"gp_opt","3","32","128","8","4","8","164736","PASS","8"
"gp_opt","3","32","128","8","5","8","26153","PASS","8"
"gp_opt","3","32","128","8","6","4","16947","PASS","8"
"gp_opt","3","32","128","8","7","8","16921","PASS","8"
"gp_opt","4","32","128","4","0","4","11933","PASS","4"
"gp_opt","4","32","128","4","1","4","47229","PASS","4"
"gp_opt","4","32","128","4","2","4","12557","PASS","4"
"gp_opt","4","32","128","4","3","4","17855","PASS","4"
"gp_opt","4","32","128","4","4","4","29252","PASS","4"
"gp_opt","4","32","128","4","5","4","12697","PASS","4"
"gp_opt","4","32","128","4","6","2","7034","PASS","4"
"gp_opt","4","32","128","4","7","4","8925","PASS","4"
"gp_opt","5","32","128","2","0","2","5921","PASS","2"
"gp_opt","5","32","128","2","1","2","11229","PASS","2"
"gp_opt","5","32","128","2","2","2","6541","PASS","2"
"gp_opt","5","32","128","2","3","2","8039","PASS","2"
"gp_opt","5","32","128","2","4","2","9498","PASS","2"
"gp_opt","5","32","128","2","5","2","6611","PASS","2"
"gp_opt","5","32","128","2","6","1","3682","PASS","2"
"gp_opt","5","32","128","2","7","2","4927","PASS","2"
"gp_opt","6","16","64","4","0","4","4957","PASS","4"
"gp_opt","6","16","64","4","1","4","35249","PASS","4"
"gp_opt","6","16","64","4","2","4","4981","PASS","4"
"gp_opt","6","16","64","4","3","4","8804","PASS","4"
"gp_opt","6","16","64","4","4","4","18984","PASS","4"
"gp_opt","6","16","64","4","5","4","5089","PASS","4"
"gp_opt","6","16","64","4","6","2","3148","PASS","4"
"gp_opt","6","16","64","4","7","4","2973","PASS","4"
"gp_opt","7","16","64","2","0","2","2273","PASS","2"
"gp_opt","7","16","64","2","1","2","6156","PASS","2"
"gp_opt","7","16","64","2","2","2","2559","PASS","2"
"gp_opt","7","16","64","2","3","2","3449","PASS","2"
"gp_opt","7","16","64","2","4","2","4590","PASS","2"
"gp_opt","7","16","64","2","5","2","2613","PASS","2"
"gp_opt","7","16","64","2","6","1","1547","PASS","2"
"gp_opt","7","16","64","2","7","2","1727","PASS","2"
