case,m,n,k,alg,old_cycles,new_cycles,delta,improvement_pct,pass_fail
0,64,256,16,0,229105,219353,9752,4.26,PASS
0,64,256,16,2,141562,141562,0,0,PASS
0,64,256,16,3,417430,377878,39552,9.48,PASS
0,64,256,16,5,142378,142378,0,0,PASS
0,64,256,16,6,122074,116494,5580,4.57,PASS
0,64,256,16,7,117777,117777,0,0,PASS
1,64,256,8,0,79337,78833,504,0.64,PASS
1,64,256,8,1,260704,238688,22016,8.44,PASS
1,64,256,8,2,65091,65091,0,0,PASS
1,64,256,8,3,103267,101027,2240,2.17,PASS
1,64,256,8,4,241766,221942,19824,8.2,PASS
1,64,256,8,5,65499,65499,0,0,PASS
1,64,256,8,6,42870,42530,340,0.79,PASS
1,64,256,8,7,59801,59801,0,0,PASS
2,64,256,4,0,36637,36657,-20,-0.05,PASS
2,64,256,4,1,83430,80670,2760,3.31,PASS
2,64,256,4,2,32326,32326,0,0,PASS
2,64,256,4,3,41344,41360,-16,-0.04,PASS
2,64,256,4,4,62093,61273,820,1.32,PASS
2,64,256,4,5,32530,32530,0,0,PASS
2,64,256,4,6,20184,20194,-10,-0.05,PASS
2,64,256,4,7,30813,30813,0,0,PASS
3,32,128,8,0,29801,29297,504,1.69,PASS
3,32,128,8,1,181417,159401,22016,12.14,PASS
3,32,128,8,2,20497,20497,0,0,PASS
3,32,128,8,3,49224,46984,2240,4.55,PASS
3,32,128,8,4,164736,144912,19824,12.03,PASS
3,32,128,8,5,20777,20777,0,0,PASS
3,32,128,8,6,16947,16607,340,2.01,PASS
3,32,128,8,7,16921,16921,0,0,PASS
4,32,128,4,0,11933,11953,-20,-0.17,PASS
4,32,128,4,1,47229,44469,2760,5.84,PASS
4,32,128,4,2,9869,9869,0,0,PASS
4,32,128,4,3,15167,15183,-16,-0.11,PASS
4,32,128,4,4,29252,28432,820,2.8,PASS
4,32,128,4,5,10009,10009,0,0,PASS
4,32,128,4,6,7034,7044,-10,-0.14,PASS
4,32,128,4,7,8925,8925,0,0,PASS
5,32,128,2,0,5921,5927,-6,-0.1,PASS
5,32,128,2,1,11229,11175,54,0.48,PASS
5,32,128,2,2,5197,5197,0,0,PASS
5,32,128,2,3,6695,6707,-12,-0.18,PASS
5,32,128,2,4,9498,9520,-22,-0.23,PASS
5,32,128,2,5,5267,5267,0,0,PASS
5,32,128,2,6,3682,3688,-6,-0.16,PASS
5,32,128,2,7,4927,4927,0,0,PASS
6,16,64,4,0,4957,4977,-20,-0.4,PASS
6,16,64,4,1,35249,32489,2760,7.83,PASS
6,16,64,4,2,3637,3637,0,0,PASS
6,16,64,4,3,7460,7476,-16,-0.21,PASS
6,16,64,4,4,18984,18164,820,4.32,PASS
6,16,64,4,5,3745,3745,0,0,PASS
6,16,64,4,6,3148,3158,-10,-0.32,PASS
6,16,64,4,7,2973,2973,0,0,PASS
7,16,64,2,0,2273,2279,-6,-0.26,PASS
7,16,64,2,1,6156,6102,54,0.88,PASS
7,16,64,2,2,1887,1887,0,0,PASS
7,16,64,2,3,2777,2789,-12,-0.43,PASS
7,16,64,2,4,4590,4612,-22,-0.48,PASS
7,16,64,2,5,1941,1941,0,0,PASS
7,16,64,2,6,1547,1553,-6,-0.39,PASS
7,16,64,2,7,1727,1727,0,0,PASS
