"Case","M","N","K","Alg","Iter","Cycles","Status","NonZeros"
"0","64","256","16","0","16","229105","PASS","16"
"0","64","256","16","1","","","SKIP",""
"0","64","256","16","2","16","141562","PASS","16"
"0","64","256","16","3","16","417430","PASS","16"
"0","64","256","16","4","","","SKIP",""
"0","64","256","16","5","16","142378","PASS","16"
"0","64","256","16","6","8","122074","PASS","16"
"0","64","256","16","7","16","117777","PASS","15"
"1","64","256","8","0","8","79337","PASS","8"
"1","64","256","8","1","8","260704","PASS","8"
"1","64","256","8","2","8","65091","PASS","8"
"1","64","256","8","3","8","103267","PASS","8"
"1","64","256","8","4","8","241766","PASS","8"
"1","64","256","8","5","8","65499","PASS","8"
"1","64","256","8","6","4","42870","PASS","8"
"1","64","256","8","7","8","59801","PASS","8"
"2","64","256","4","0","4","36637","PASS","4"
"2","64","256","4","1","4","83430","PASS","4"
"2","64","256","4","2","4","32326","PASS","4"
"2","64","256","4","3","4","41344","PASS","4"
"2","64","256","4","4","4","62093","PASS","4"
"2","64","256","4","5","4","32530","PASS","4"
"2","64","256","4","6","2","20184","PASS","4"
"2","64","256","4","7","4","30813","PASS","4"
"3","32","128","8","0","8","29801","PASS","8"
"3","32","128","8","1","8","181417","PASS","8"
"3","32","128","8","2","8","20497","PASS","8"
"3","32","128","8","3","8","49224","PASS","8"
"3","32","128","8","4","8","164736","PASS","8"
"3","32","128","8","5","8","20777","PASS","8"
"3","32","128","8","6","4","16947","PASS","8"
"3","32","128","8","7","8","16921","PASS","8"
"4","32","128","4","0","4","11933","PASS","4"
"4","32","128","4","1","4","47229","PASS","4"
"4","32","128","4","2","4","9869","PASS","4"
"4","32","128","4","3","4","15167","PASS","4"
"4","32","128","4","4","4","29252","PASS","4"
"4","32","128","4","5","4","10009","PASS","4"
"4","32","128","4","6","2","7034","PASS","4"
"4","32","128","4","7","4","8925","PASS","4"
"5","32","128","2","0","2","5921","PASS","2"
"5","32","128","2","1","2","11229","PASS","2"
"5","32","128","2","2","2","5197","PASS","2"
"5","32","128","2","3","2","6695","PASS","2"
"5","32","128","2","4","2","9498","PASS","2"
"5","32","128","2","5","2","5267","PASS","2"
"5","32","128","2","6","1","3682","PASS","2"
"5","32","128","2","7","2","4927","PASS","2"
"6","16","64","4","0","4","4957","PASS","4"
"6","16","64","4","1","4","35249","PASS","4"
"6","16","64","4","2","4","3637","PASS","4"
"6","16","64","4","3","4","7460","PASS","4"
"6","16","64","4","4","4","18984","PASS","4"
"6","16","64","4","5","4","3745","PASS","4"
"6","16","64","4","6","2","3148","PASS","4"
"6","16","64","4","7","4","2973","PASS","4"
"7","16","64","2","0","2","2273","PASS","2"
"7","16","64","2","1","2","6156","PASS","2"
"7","16","64","2","2","2","1887","PASS","2"
"7","16","64","2","3","2","2777","PASS","2"
"7","16","64","2","4","2","4590","PASS","2"
"7","16","64","2","5","2","1941","PASS","2"
"7","16","64","2","6","1","1547","PASS","2"
"7","16","64","2","7","2","1727","PASS","2"
