case,m,n,k,alg,old_cycles,new_cycles,delta,improvement_pct,pass_fail
0,64,256,16,0,229105,209885,19220,8.39,PASS
0,64,256,16,2,141562,141562,0,0,PASS
0,64,256,16,3,417430,347350,70080,16.79,PASS
0,64,256,16,5,142378,142378,0,0,PASS
0,64,256,16,6,122074,111256,10818,8.86,PASS
0,64,256,16,7,117777,117777,0,0,PASS
1,64,256,8,0,79337,78077,1260,1.59,PASS
1,64,256,8,1,260704,221408,39296,15.07,PASS
1,64,256,8,2,65091,65091,0,0,PASS
1,64,256,8,3,103267,99011,4256,4.12,PASS
1,64,256,8,4,241766,206318,35448,14.66,PASS
1,64,256,8,5,65499,65499,0,0,PASS
1,64,256,8,6,42870,42080,790,1.84,PASS
1,64,256,8,7,59801,59801,0,0,PASS
2,64,256,4,0,36637,36567,70,0.19,PASS
2,64,256,4,1,83430,77394,6036,7.23,PASS
2,64,256,4,2,32326,32326,0,0,PASS
2,64,256,4,3,41344,41144,200,0.48,PASS
2,64,256,4,4,62093,60247,1846,2.97,PASS
2,64,256,4,5,32530,32530,0,0,PASS
2,64,256,4,6,20184,20131,53,0.26,PASS
2,64,256,4,7,30813,30813,0,0,PASS
3,32,128,8,0,29801,28541,1260,4.23,PASS
3,32,128,8,1,181417,142121,39296,21.66,PASS
3,32,128,8,2,20497,20497,0,0,PASS
3,32,128,8,3,49224,44968,4256,8.65,PASS
3,32,128,8,4,164736,129288,35448,21.52,PASS
3,32,128,8,5,20777,20777,0,0,PASS
3,32,128,8,6,16947,16157,790,4.66,PASS
3,32,128,8,7,16921,16921,0,0,PASS
4,32,128,4,0,11933,11863,70,0.59,PASS
4,32,128,4,1,47229,41193,6036,12.78,PASS
4,32,128,4,2,9869,9869,0,0,PASS
4,32,128,4,3,15167,14967,200,1.32,PASS
4,32,128,4,4,29252,27406,1846,6.31,PASS
4,32,128,4,5,10009,10009,0,0,PASS
4,32,128,4,6,7034,6981,53,0.75,PASS
4,32,128,4,7,8925,8925,0,0,PASS
5,32,128,2,0,5921,5918,3,0.05,PASS
5,32,128,2,1,11229,10968,261,2.32,PASS
5,32,128,2,2,5197,5197,0,0,PASS
5,32,128,2,3,6695,6689,6,0.09,PASS
5,32,128,2,4,9498,9439,59,0.62,PASS
5,32,128,2,5,5267,5267,0,0,PASS
5,32,128,2,6,3682,3679,3,0.08,PASS
5,32,128,2,7,4927,4927,0,0,PASS
6,16,64,4,0,4957,4887,70,1.41,PASS
6,16,64,4,1,35249,29213,6036,17.12,PASS
6,16,64,4,2,3637,3637,0,0,PASS
6,16,64,4,3,7460,7260,200,2.68,PASS
6,16,64,4,4,18984,17138,1846,9.72,PASS
6,16,64,4,5,3745,3745,0,0,PASS
6,16,64,4,6,3148,3095,53,1.68,PASS
6,16,64,4,7,2973,2973,0,0,PASS
7,16,64,2,0,2273,2270,3,0.13,PASS
7,16,64,2,1,6156,5895,261,4.24,PASS
7,16,64,2,2,1887,1887,0,0,PASS
7,16,64,2,3,2777,2771,6,0.22,PASS
7,16,64,2,4,4590,4531,59,1.29,PASS
7,16,64,2,5,1941,1941,0,0,PASS
7,16,64,2,6,1547,1544,3,0.19,PASS
7,16,64,2,7,1727,1727,0,0,PASS
