case,m,n,k,alg,cycles,pass_fail
0,64,256,16,0,219353,PASS
0,64,256,16,2,141562,PASS
0,64,256,16,3,377878,PASS
0,64,256,16,5,142378,PASS
0,64,256,16,6,116494,PASS
0,64,256,16,7,117777,PASS
1,64,256,8,0,78833,PASS
1,64,256,8,1,238688,PASS
1,64,256,8,2,65091,PASS
1,64,256,8,3,101027,PASS
1,64,256,8,4,221942,PASS
1,64,256,8,5,65499,PASS
1,64,256,8,6,42530,PASS
1,64,256,8,7,59801,PASS
2,64,256,4,0,36657,PASS
2,64,256,4,1,80670,PASS
2,64,256,4,2,32326,PASS
2,64,256,4,3,41360,PASS
2,64,256,4,4,61273,PASS
2,64,256,4,5,32530,PASS
2,64,256,4,6,20194,PASS
2,64,256,4,7,30813,PASS
3,32,128,8,0,29297,PASS
3,32,128,8,1,159401,PASS
3,32,128,8,2,20497,PASS
3,32,128,8,3,46984,PASS
3,32,128,8,4,144912,PASS
3,32,128,8,5,20777,PASS
3,32,128,8,6,16607,PASS
3,32,128,8,7,16921,PASS
4,32,128,4,0,11953,PASS
4,32,128,4,1,44469,PASS
4,32,128,4,2,9869,PASS
4,32,128,4,3,15183,PASS
4,32,128,4,4,28432,PASS
4,32,128,4,5,10009,PASS
4,32,128,4,6,7044,PASS
4,32,128,4,7,8925,PASS
5,32,128,2,0,5927,PASS
5,32,128,2,1,11175,PASS
5,32,128,2,2,5197,PASS
5,32,128,2,3,6707,PASS
5,32,128,2,4,9520,PASS
5,32,128,2,5,5267,PASS
5,32,128,2,6,3688,PASS
5,32,128,2,7,4927,PASS
6,16,64,4,0,4977,PASS
6,16,64,4,1,32489,PASS
6,16,64,4,2,3637,PASS
6,16,64,4,3,7476,PASS
6,16,64,4,4,18164,PASS
6,16,64,4,5,3745,PASS
6,16,64,4,6,3158,PASS
6,16,64,4,7,2973,PASS
7,16,64,2,0,2279,PASS
7,16,64,2,1,6102,PASS
7,16,64,2,2,1887,PASS
7,16,64,2,3,2789,PASS
7,16,64,2,4,4612,PASS
7,16,64,2,5,1941,PASS
7,16,64,2,6,1553,PASS
7,16,64,2,7,1727,PASS
