algorithm,bits,nmse_median,residual_median,support_mean,exact_support_mean
MP,FP32,0.6935479871802525,0.2911089963436008,0.5338541666666666,0
MP,12,0.6844097693415335,0.3127087298523586,0.5,0
MP,16,0.6771429035127504,0.2895950840463627,0.546875,0
MP,20,0.6935760233027572,0.2910886770909988,0.5364583333333334,0
MP,24,0.6935443619538766,0.291108886294878,0.5338541666666666,0
MP,28,0.6935480888014416,0.29110899858834804,0.5338541666666666,0
MP,32,0.693548001732749,0.291108996137752,0.5338541666666666,0
OMP,FP32,0.605763465791528,0.20912222902484998,0.6328125,0.08333333333333333
OMP,12,0.3448778476661388,0.2439563585666195,0.65625,0.08333333333333333
OMP,16,0.604040255854094,0.20917149536876914,0.6328125,0.08333333333333333
OMP,20,0.6055992566389227,0.20912239071851152,0.6328125,0.08333333333333333
OMP,24,0.6057547169129746,0.20912222809713724,0.6328125,0.08333333333333333
OMP,28,0.6057629569566326,0.20912222747857656,0.6328125,0.08333333333333333
OMP,32,0.6057634390795293,0.20912223290473572,0.6328125,0.08333333333333333
GOMP,FP32,0.5757868703957884,0.41585912267021186,0.4713541666666667,0
GOMP,12,0.6202813873704762,0.4222223464462712,0.4713541666666667,0
GOMP,16,0.5755196678548565,0.41587355333447995,0.4713541666666667,0
GOMP,20,0.5756656588375069,0.41585920630780343,0.4713541666666667,0
GOMP,24,0.5757895522394411,0.4158591263692713,0.4713541666666667,0
GOMP,28,0.5757867319836047,0.415859126141091,0.4713541666666667,0
GOMP,32,0.5757868509977969,0.41585912242284434,0.4713541666666667,0
IHT,FP32,0.6075269264060923,0.42885828541891813,0.4791666666666667,0
IHT,12,0.7060166909428353,0.5123352580098979,0.4192708333333333,0
IHT,16,0.6243617086307786,0.428821137476192,0.4765625,0
IHT,20,0.6075544316726923,0.42884805447821844,0.4791666666666667,0
IHT,24,0.607523567839899,0.4288587105308332,0.4791666666666667,0
IHT,28,0.6075269158888469,0.42885827193390685,0.4791666666666667,0
IHT,32,0.6075269191205809,0.42885829793673436,0.4791666666666667,0
GP,FP32,0.508074806044803,0.39052507743659304,0.53125,0
GP,12,0.712541899668583,0.43638036926644214,0.4296875,0
GP,16,0.5112719535156814,0.395747644607394,0.5182291666666666,0
GP,20,0.5080968581377662,0.3905251704336772,0.53125,0
GP,24,0.5080748336380728,0.3905250749070197,0.53125,0
GP,28,0.5080749347415375,0.39052507452026225,0.53125,0
GP,32,0.5080747862291033,0.3905250698876745,0.53125,0
SP,FP32,5.945084274302038e-15,6.232917193208331e-8,0.828125,0.5833333333333334
SP,12,1.185187524666914,0.5975332295178014,0.3489583333333333,0.041666666666666664
SP,16,0.00003863173873487047,0.0049866806123928555,0.8697916666666666,0.7083333333333334
SP,20,2.2802749687917312e-7,0.0003595475080644477,0.828125,0.5833333333333334
SP,24,8.002064043148342e-10,0.00002311677843332895,0.828125,0.5833333333333334
SP,28,3.302045489382265e-12,0.0000013955785381075288,0.828125,0.5833333333333334
SP,32,1.2650948755837468e-14,9.913264037686601e-8,0.828125,0.5833333333333334
CoSaMP,FP32,5.945084274302038e-15,6.232917193208331e-8,0.7760416666666666,0.5416666666666666
CoSaMP,12,0.538604941286673,0.31392370398738845,0.5625,0.041666666666666664
CoSaMP,16,0.00003913152696258494,0.004983144134217663,0.8463541666666666,0.7083333333333334
CoSaMP,20,3.1204128258895003e-7,0.0004244937068356139,0.7786458333333334,0.5416666666666666
CoSaMP,24,1.0816545517752356e-9,0.00002446232957248003,0.7760416666666666,0.5416666666666666
CoSaMP,28,3.914434851497122e-12,0.0000014644169234211217,0.7760416666666666,0.5416666666666666
CoSaMP,32,1.435494072497125e-14,1.2220719695197496e-7,0.7760416666666666,0.5416666666666666
HTP,FP32,0.508074806044803,0.39052507743659304,0.53125,0
HTP,12,0.712541899668583,0.43638036926644214,0.4296875,0
HTP,16,0.5112719535156814,0.395747644607394,0.5182291666666666,0
HTP,20,0.5080968581377662,0.3905251704336772,0.53125,0
HTP,24,0.5080748336380728,0.3905250749070197,0.53125,0
HTP,28,0.5080749347415375,0.39052507452026225,0.53125,0
HTP,32,0.5080747862291033,0.3905250698876745,0.53125,0
